nome,nivel,inicio,fim,instituicao,pagamento
Jose Neuman de Souza, PQ-1D, 01/03/2018, 28/02/2022, UFC, Em folha de pagamento
Jose Palazzo Moreira de Oliveira, PQ-1D, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Judith Kelner, PQ-1D, 01/03/2020, 29/02/2024, UFPE, Em folha de pagamento
Jugurta Rosa Montalvao Filho, PQ-2, 01/03/2019, 28/02/2022, UFS, Em folha de pagamento
Juliano Araujo Wickboldt, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Julio Cesar Sampaio do Prado Leite, PQ-1D, 01/03/2018, 28/02/2022, PUC-Rio, Em folha de pagamento
Jurandy Gomes de Almeida Junior, PQ-2, 01/03/2018, 28/02/2021, UNIFESP, Suspenso
Jussara Marques de Almeida, PQ-1C, 01/03/2020, 29/02/2024, UFMG, Em folha de pagamento
Kelvin Lopes Dias, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Kleinner Silva Farias de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UNISINOS, Em folha de pagamento
Leandro Alves Neves, PQ-2, 01/03/2019, 28/02/2022, UNESP, Em folha de pagamento
Leandro Aparecido Villas, PQ-2, 01/03/2019, 28/02/2022, UNICAMP, Em folha de pagamento
Leandro Augusto Frata Fernandes, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Leandro Nunes de Castro Silva, PQ-2, 01/03/2019, 28/02/2022, MACKENZIE, Em folha de pagamento
Lehilton Lelis Chaves Pedrosa, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Leliane Nunes de Barros, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Leonardo Barbosa e Oliveira, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Leonardo Chaves Dutra da Rocha, PQ-2, 01/03/2019, 28/02/2022, UFSJ, Em folha de pagamento
Leonardo Gresta Paulino Murta, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Lisandro Zambenedetti Granville, PQ-1C, 01/03/2018, 28/02/2022, UFRGS, Em folha de pagamento
Lucia Maria de Assumpcao Drummond, PQ-1D, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Luciana Nedel, PQ-2, 01/03/2020, 28/02/2023, UFRGS, Em folha de pagamento
Luciana Salete Buriol, PQ-1D, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luciano da Fontoura Costa, PQ-1A, 01/03/2019, 29/02/2024, USP, Em folha de pagamento
Luciano Paschoal Gaspary, PQ-1D, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luciano Reboucas de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFBA, Em folha de pagamento
Luciano Silva, PQ-2, 01/03/2019, 28/02/2022, UFPR, Em folha de pagamento
Luerbio Faria, PQ-1D, 01/03/2019, 28/02/2023, UERJ, Em folha de pagamento
Luidi Gelabert Simonetti, PQ-2, 01/03/2018, 28/02/2021, UFRJ, Em folha de pagamento
Luigi Carro, PQ-1A, 01/03/2018, 31/03/2023, UFRGS, Em folha de pagamento
Luis Carlos Erpen de Bona, PQ-2, 01/03/2020, 28/02/2023, UFPR, Em folha de pagamento
Luis da Cunha Lamb, PQ-1B, 01/03/2017, 28/02/2021, UFRGS, Em folha de pagamento
Luis Enrique Zarate Galvez, PQ-2, 01/03/2019, 28/02/2022, PUC Minas, Em folha de pagamento
Luis Fabricio Wanderley Goes, PQ-2, 01/03/2019, 28/02/2022, PUC Minas, Em folha de pagamento
Luis Gustavo Nonato, PQ-1C, 01/03/2018, 28/02/2022, USP, Em folha de pagamento
Luis Henrique Maciel Kosmalski Costa, PQ-1C, 01/03/2018, 28/02/2022, UFRJ, Em folha de pagamento
Luis Marti Orosa, PQ-2, 01/03/2018, 28/02/2021, UFF, Em folha de pagamento
Luiz Chaimowicz, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Luiz Eduardo Soares de Oliveira, PQ-1D, 01/03/2019, 28/02/2023, UFPR, Em folha de pagamento
Luiz Fernando Bittencourt, PQ-1D, 01/03/2020, 29/02/2024, UNICAMP, Em folha de pagamento
Luiz Fernando Rust da Costa Carmo, PQ-2, 01/03/2019, 28/02/2022, INMETRO, Em folha de pagamento
Luiz Filipe Menezes Vieira, PQ-1D, 01/03/2019, 28/02/2023, UFMG, Em folha de pagamento
Luiz Gustavo Leao Fernandes, PQ-2, 01/03/2020, 28/02/2023, PUCRS, Em folha de pagamento
Luiz Marcos Garcia Goncalves, PQ-2, 01/03/2019, 28/02/2022, UFRN, Em folha de pagamento
Luiz Satoru Ochi, PQ-1C, 01/03/2018, 28/02/2022, UFF, Em folha de pagamento
Luiza de Macedo Mourelle, PQ-1D, 01/03/2018, 28/02/2022, UERJ, Em folha de pagamento
Manoel Bezerra Campêlo Neto, PQ-2, 01/03/2020, 28/02/2023, UFC, Em folha de pagamento
Manuel Menezes de Oliveira Neto, PQ-1B, 01/03/2019, 28/02/2023, UFRGS, Em folha de pagamento
Marcelo Bezerra d'Amorim, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Marcelo de Almeida Maia, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Marcelo Fantinato, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Marcelo Finger, PQ-1C, 01/03/2019, 28/02/2023, USP, Em folha de pagamento
Marcelo Goncalves Rubinstein, PQ-2, 01/03/2019, 28/02/2022, UERJ, Em folha de pagamento
Marcelo Henriques de Carvalho, PQ-1D, 01/03/2018, 28/02/2022, UFMS, Em folha de pagamento
Marcelo Lobosco, PQ-2, 01/03/2019, 28/02/2022, UFJF, Em folha de pagamento
Marcelo Zanchetta do Nascimento, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Marcia Helena Costa Fampa, PQ-2, 01/03/2020, 28/02/2023, UFRJ, Em folha de pagamento
Marcio Bastos Castro, PQ-2, 01/03/2018, 28/02/2021, UFSC, Em folha de pagamento
